mode,seed,frame,mask_pixels,nrmse,log_luma_mae,luminance_bias,masked_nonfinite_rate,full_nonfinite_rate
gather-robust,101,8,2226,0.5022113040582397,0.03981932997703552,-0.0030106992926448584,0.0,0.0
gather-robust,1009,8,2226,0.4397135738937385,0.038246724754571915,-0.0030301427468657494,0.0,0.0
gather-robust,2027,8,2226,0.443889196316422,0.038663461804389954,-0.001439106883481145,0.0,0.0
gather-robust,4093,8,2226,0.47605585922505167,0.03891842067241669,-0.0024394765496253967,0.0,0.0
gather-robust,8089,8,2226,0.4536889279175731,0.03889518976211548,-0.0030326368287205696,0.0,0.0
scatter-only,101,8,2226,0.8649791128124883,0.08896838873624802,-0.00017757182649802417,0.0,0.0
scatter-only,1009,8,2226,0.8349513739664668,0.08917807787656784,-0.006627682596445084,0.0,0.0
scatter-only,2027,8,2226,0.8288672376582857,0.08956582844257355,-0.0005593034438788891,0.0,0.0
scatter-only,4093,8,2226,0.8644439058591185,0.08953450620174408,-0.003177199512720108,0.0,0.0
scatter-only,8089,8,2226,0.8303554488242424,0.09071776270866394,-0.003394701052457094,0.0,0.0
scatter-backup,101,8,2226,0.7202253372227486,0.05309675261378288,0.0041107009164988995,0.0,0.0
scatter-backup,1009,8,2226,0.5751211762908449,0.0504116527736187,-0.0002881521941162646,0.0,0.0
scatter-backup,2027,8,2226,0.557811120405084,0.0506032295525074,-0.0023495014756917953,0.0,0.0
scatter-backup,4093,8,2226,0.5330613669801868,0.04913640767335892,-0.0023998189717531204,0.0,0.0
scatter-backup,8089,8,2226,0.5081165390607975,0.05037141591310501,-0.0022072242572903633,0.0,0.0
gather-robust,101,17,3249,0.5054744863174685,0.03478142246603966,0.0002414143382338807,0.0,0.0
gather-robust,1009,17,3249,0.43480633643639155,0.03372284024953842,-0.003104577073827386,0.0,0.0
gather-robust,2027,17,3249,0.4560026215334059,0.034560468047857285,0.002103924285620451,0.0,0.0
gather-robust,4093,17,3249,0.47665687616669306,0.03447701409459114,-0.0011110069463029504,0.0,0.0
gather-robust,8089,17,3249,0.4230665517728953,0.03362802416086197,-0.0014944756403565407,0.0,0.0
scatter-only,101,17,3249,0.8765258875459264,0.08031844347715378,0.001798621378839016,0.0,0.0
scatter-only,1009,17,3249,0.823541820655019,0.0778122991323471,-0.002507610246539116,0.0,0.0
scatter-only,2027,17,3249,0.7934612553235478,0.07626278698444366,-0.0027617968153208494,0.0,0.0
scatter-only,4093,17,3249,0.8466224058162722,0.07881563901901245,-0.0004980273079127073,0.0,0.0
scatter-only,8089,17,3249,0.8945299453650589,0.0791674554347992,-0.002042348263785243,0.0,0.0
scatter-backup,101,17,3249,0.5814282370854303,0.04585257172584534,-0.00014513365749735385,0.0,0.0
scatter-backup,1009,17,3249,0.6225600678490377,0.046128060668706894,-8.032849291339517e-05,0.0,0.0
scatter-backup,2027,17,3249,0.5003158750296486,0.04403282701969147,-0.004609494470059872,0.0,0.0
scatter-backup,4093,17,3249,0.6421637292064488,0.04755860194563866,0.0036050984635949135,0.0,0.0
scatter-backup,8089,17,3249,0.5217161760432814,0.04386121407151222,0.0009439151035621762,0.0,0.0
gather-robust,101,26,3432,0.5104209793592998,0.035642512142658234,0.002954952884465456,0.0,0.0
gather-robust,1009,26,3432,0.5405128020690549,0.03611483424901962,-0.0012448129709810019,0.0,0.0
gather-robust,2027,26,3432,0.4840101193551942,0.03513442352414131,-0.002072311704978347,0.0,0.0
gather-robust,4093,26,3432,0.48488276860948903,0.03474237397313118,-0.0004134589107707143,0.0,0.0
gather-robust,8089,26,3432,0.5028294086872549,0.03555845096707344,-0.002595088444650173,0.0,0.0
scatter-only,101,26,3432,0.8813771542826615,0.07736390829086304,0.0013399339513853192,0.0,0.0
scatter-only,1009,26,3432,0.9041656685935344,0.07820487022399902,0.0019824476912617683,0.0,0.0
scatter-only,2027,26,3432,0.901536964416307,0.07623951882123947,-0.0034405759070068598,0.0,0.0
scatter-only,4093,26,3432,0.8658701659353077,0.0764828771352768,-0.0021890311036258936,0.0,0.0
scatter-only,8089,26,3432,0.8927380810174479,0.07840915769338608,-1.076482112694066e-05,0.0,0.0
scatter-backup,101,26,3432,0.6076167724266267,0.04576219245791435,0.002827934455126524,0.0,0.0
scatter-backup,1009,26,3432,0.6175914486607683,0.045005060732364655,-0.001121252542361617,0.0,0.0
scatter-backup,2027,26,3432,0.5602635978035965,0.04367567226290703,-0.004276481922715902,0.0,0.0
scatter-backup,4093,26,3432,0.6590898746756935,0.04548371955752373,0.003777718171477318,0.0,0.0
scatter-backup,8089,26,3432,0.5498747037044599,0.04374822974205017,0.000987790641374886,0.0,0.0
gather-robust,101,35,1700,0.392986208137537,0.04321441799402237,-0.0022871734108775854,0.0,0.0
gather-robust,1009,35,1700,0.40572364899258984,0.043626636266708374,-0.0016801933525130153,0.0,0.0
gather-robust,2027,35,1700,0.4325696488507325,0.043818745762109756,0.003423126647248864,0.0,0.0
gather-robust,4093,35,1700,0.4040397455095381,0.045831456780433655,-0.0005382485687732697,0.0,0.0
gather-robust,8089,35,1700,0.4023868701061935,0.04470248892903328,-0.003105964045971632,0.0,0.0
scatter-only,101,35,1700,0.857241108862794,0.12362480908632278,0.0010832571424543858,0.0,0.0
