mode,metric,samples,mean,ci95_low,ci95_high
gather-robust,nrmse,5,0.47735207501223503,0.4410539929282037,0.5136501570962664
gather-robust,log_luma_mae,5,0.038534710295498376,0.03820247746828069,0.03886694312271606
gather-robust,luminance_bias,5,-0.0008911729526153067,-0.0023768367298204977,0.0005944908245898843
gather-robust,masked_nonfinite_rate,5,0.0,0.0,0.0
gather-robust,full_nonfinite_rate,5,0.0,0.0,0.0
scatter-only,nrmse,5,0.8728366756318617,0.8616565790513353,0.8840167722123882
scatter-only,log_luma_mae,5,0.09568896681070328,0.09475697895156647,0.0966209546698401
scatter-only,luminance_bias,5,-0.0011494573630625381,-0.0024437543841400004,0.00014483965801492435
scatter-only,masked_nonfinite_rate,5,0.0,0.0,0.0
scatter-only,full_nonfinite_rate,5,0.0,0.0,0.0
scatter-backup,nrmse,5,0.5965244894383045,0.5294058241549466,0.6636431547216624
scatter-backup,log_luma_mae,5,0.05265633091330528,0.052211987751365534,0.053100674075245026
scatter-backup,luminance_bias,5,-0.00028264479988138186,-0.0013197056695227528,0.000754416069759989
scatter-backup,masked_nonfinite_rate,5,0.0,0.0,0.0
scatter-backup,full_nonfinite_rate,5,0.0,0.0,0.0
