frame,gather_vs_scatter_mae,gather_vs_multi_mae,scatter_vs_multi_mae
0,0.0119798,0.0125549,0.00457161
1,0.0124089,0.0157402,0.00938535
2,0.0125271,0.0166287,0.0132514
3,0.0124799,0.0159579,0.0143381
4,0.0124937,0.0160568,0.0144446
5,0.0124845,0.0160997,0.014272
6,0.0125109,0.0160208,0.0143092
7,0.0124619,0.0160762,0.0141828
8,0.0124382,0.0161252,0.0142903
9,0.0124238,0.0160044,0.0141471
10,0.0123431,0.0160038,0.0141161
11,0.0122767,0.0160611,0.0141052
12,0.0122807,0.0159752,0.014194
13,0.012226,0.0159915,0.0141859
14,0.0122389,0.0160836,0.0142613
15,0.0123241,0.0159565,0.0142451
16,0.012187,0.0159595,0.0141273
17,0.0121976,0.0160148,0.0141881
18,0.0121154,0.0159349,0.014135
19,0.0120839,0.0159362,0.0141172
20,0.0120424,0.0158791,0.0140727
21,0.012032,0.015693,0.0140024
22,0.0119353,0.0157907,0.0141336
23,0.0119636,0.0156671,0.0139539
24,0.0118511,0.0157953,0.0139125
25,0.0118962,0.0157204,0.0139862
26,0.0118931,0.0156817,0.0139333
27,0.0118779,0.0156967,0.0139309
28,0.011905,0.0156231,0.0137836
29,0.011809,0.0155323,0.0137658
30,0.0117912,0.0155949,0.0138379
31,0.0117766,0.0155821,0.0138081
32,0.0118405,0.015491,0.0137357
33,0.0118052,0.0154594,0.013674
34,0.0116508,0.0153589,0.0136645
35,0.0117008,0.0154045,0.0137547
36,0.0117483,0.01542,0.0137094
37,0.0117522,0.0154628,0.0137324
38,0.0116307,0.0153313,0.0136108
39,0.0116334,0.015307,0.0136563
40,0.0115122,0.0152631,0.013485
41,0.0116253,0.0150842,0.0134061
42,0.0115034,0.0151478,0.0135423
43,0.0115364,0.0152378,0.0134966
44,0.0115631,0.015249,0.0134386
45,0.0115189,0.0151161,0.0134081
46,0.0114975,0.0151585,0.0134179
47,0.0113989,0.0150507,0.0133302
48,0.0114428,0.0150441,0.0133895
49,0.0113695,0.0149586,0.0131811
50,0.0113487,0.0149139,0.013222
51,0.0113716,0.0148384,0.0131464
52,0.0113098,0.0146249,0.0131242
53,0.0112428,0.0147581,0.0131645
54,0.0113394,0.014777,0.0131402
55,0.0112637,0.0146975,0.0131125
56,0.0112768,0.0146929,0.0130937
57,0.011171,0.0145756,0.0130846
58,0.0111875,0.0145605,0.0129611
59,0.0111784,0.0145441,0.0130318
60,0.0111099,0.0145164,0.0129784
61,0.0111874,0.0146079,0.0130166
62,0.0111372,0.0144701,0.0129665
63,0.0111421,0.0145713,0.0130353
64,0.0111287,0.0146633,0.0131063
65,0.0111789,0.0145599,0.0129985
66,0.0111429,0.014612,0.0131716
67,0.0112216,0.0147219,0.0131639
68,0.0112986,0.0147989,0.0132611
69,0.0113281,0.0149384,0.013415
70,0.011414,0.0149826,0.0135349
71,0.0113298,0.0150424,0.0135798
72,0.0114272,0.0150988,0.0135665
73,0.0115002,0.0151908,0.0137025
74,0.0115078,0.0153422,0.0138063
75,0.01165,0.0155552,0.0139723
76,0.0116667,0.0157345,0.014149
77,0.0116581,0.0158825,0.0142229
78,0.011741,0.0159205,0.0143876
79,0.0117656,0.016236,0.0146533
80,0.0118016,0.0162517,0.0146428
81,0.0118832,0.0164838,0.0148901
82,0.0120004,0.0166072,0.0149761
83,0.0117791,0.0166055,0.0150157
84,0.0117488,0.0166567,0.0150531
85,0.0118769,0.0167667,0.0150857
86,0.0118059,0.0167185,0.0150971
87,0.0117316,0.01665,0.015155
88,0.011747,0.0167781,0.0152569
89,0.0116217,0.0167245,0.0152405
